nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
bibliotecar redactor tehnoredactor operator date controlor date restaurator conservator,"Bibliotecar, redactor, tehnoredactor, operator date, controlor date, restaurator, conservator",III,,32.00201004.07.1|32.00201004.07.2|32.00201004.07.3|32.00201004.07.4|32.00202004.07.1|32.00202004.07.2|32.00202004.07.3|32.00202004.07.4,8,III CII!31|III CII!32|III CII!33|III CII!34|III CII!61|III CII!62|III CII!63|III CII!64
bioinginer medical,Bioinginer medical,II,,21.00201022.02.1|21.00201023.02.1|21.00201024.02.1|21.00201025.02.1,4,II CI 2!29|II CI 2!30|II CI 2!31|II CI 2!32
biolog,biolog,II|VIII,personal contractual,21.00205008.04.1|21.00205009.04.1|21.00205010.04.1|82.40124005.05.1|82.40124006.04.1|82.40124007.04.1|82.40124008.04.1,11,II CI 2!64|II CI 2!65|II CI 2!66|VIII CII A 1!228|VIII CII A 1!229|VIII CII A 1!230|VIII CII A 1!231|VIII CII G!12|VIII CII G!13|VIII CII G!14|VIII CII G!15
biolog biochimist chimist fizician,"Biolog, biochimist, chimist, fizician",II,,21.00205003.04.1,1,II CI 2!59
biolog biochimist chimist fizician debutant,"Biolog, biochimist, chimist, fizician - debutant",II,,21.00205004.05.1,1,II CI 2!60
biolog biochimist chimist fizician principal,"Biolog,biochimist,chimist, fizician - principal",II,,21.00205001.05.1,1,II CI 2!57
biolog biochimist chimist fizician specialist,"Biolog, biochimist, chimist, fizician- specialist",II,,21.00205002.05.1,1,II CI 2!58
biolog fizician chimist sociolog psiholog,"Biolog, fizician, chimist, sociolog, psiholog",III,,33.00201003.05.1|33.00201004.05.1|33.00202003.05.1|33.00202004.05.1,4,III CIII!22|III CIII!23|III CIII!52|III CIII!53
biolog fizician chimist sociolog psiholog topograf documentarist grafician,"Biolog, fizician, chimist, sociolog, psiholog, topograf, documentarist, grafician",III,,33.00201002.08.1|33.00201005.08.1|33.00202002.08.1|33.00202005.08.1,4,III CIII!21|III CIII!24|III CIII!51|III CIII!54
brancardier baies namolar spalatoreasa ingrijitoare,"Brancardier, băieş, nămolar, spălătoreasă, îngrijitoare",II,,21.00209003.05.1,1,II CI 2!82
bucatar,Bucătar,II|VIII,personal contractual,21.00304006.01.1|82.60128014.02.1,6,II CI 3!70|VIII CII A 3_local1!51|VIII CII A 3_local2!51|VIII CII A 3_local3!52|VIII CII A 3_local4!53|VIII CII E!40
bucatar calificat,Bucătar calificat,VIII,personal contractual,,1,VIII CII C!25
bucatar lenjereasa,"Bucătar, lenjereasă",VIII,personal contractual,82.40302008.02.1,1,VIII CII C!26
bufetier,bufetier,VIII,personal contractual,82.40302007.07.1|82.60128013.07.1,5,VIII CII A 3_local1!50|VIII CII A 3_local2!50|VIII CII A 3_local3!51|VIII CII A 3_local4!52|VIII CII C!24
capitan comandor,căpitan-comandor,VI,,,1,VI_Armata!18
capitan fluvial categoria a,căpitan fluvial categoria A,VIII,personal contractual,,1,VIII CII E!29
capitan fluvial categoria b,căpitan fluvial categoria B,VIII,personal contractual,,1,VIII CII E!29
capitan maritim portuar,Căpitan maritim-portuar,VIII,personal contractual,,1,VIII CII E!25
casier,Casier,VIII,personal contractual,82.40302005.04.1|82.40302005.04.2|82.60128011.02.1|82.60128011.02.2,10,VIII CII A 3_local1!47|VIII CII A 3_local1!48|VIII CII A 3_local2!47|VIII CII A 3_local2!48|VIII CII A 3_local3!48|VIII CII A 3_local3!49|VIII CII A 3_local4!49|VIII CII A 3_local4!50|VIII CII C!21|VIII CII C!22
casier trezorier,casier trezorier,VIII,funcționar public|personal contractual,81.10105012.03.1|81.10105012.03.2|81.10105012.03.3|81.10105012.03.4|82.40111001.01.1|82.40111001.01.2|82.40111001.01.3,7,VIII_CI_A_1!66|VIII_CI_A_1!67|VIII_CI_A_1!68|VIII_CI_A_1!69|VIII CII A 1!138|VIII CII A 1!139|VIII CII A 1!140
cercetator stiintific,Cercetător ştiinţific,I,,12.00201004.01.1,1,I CII!24
cercetator stiintific i,Cercetător ştiinţific I,I,,12.00201001.01.1,1,I CII!21
cercetator stiintific ii,Cercetător ştiinţific II,I,,12.00201002.01.1,1,I CII!22
cercetator stiintific iii,Cercetător ştiinţific III,I,,12.00201003.01.1,1,I CII!23
chestor de politie,chestor de poliţie,VI,,,1,VI_Armata!16
chestor general de politie,chestor general de poliţie,VI,,,1,VI_Armata!13
chestor principal de politie,chestor principal de poliţie,VI,,,1,VI_Armata!15
chestor sef adjunct de politie penitenciara,chestor șef adjunct de poliție penitenciară,VI,,,1,VI_Armata!14
chestor sef de politie,chestor-șef de poliţie,VI,,,1,VI_Armata!14
chestor sef de politie penitenciara,chestor șef de poliție penitenciară,VI,,,1,VI_Armata!13
chimist,chimist*,II|VIII,personal contractual,21.00205009.04.1|21.00205010.04.1,6,II CI 2!65|II CI 2!66|VIII CII G!12|VIII CII G!13|VIII CII G!14|VIII CII G!15
chimist principal,"chimist, principal *",II,,21.00205008.04.1,1,II CI 2!64
comandant,Comandant,VIII,personal contractual,,1,VIII CII E!12
comandant adjunct aeroclub teritorial,Comandant adjunct aeroclub teritorial,VIII,personal contractual,,1,VIII CII F!16
comandant aeroclub teritorial,Comandant aeroclub teritorial,VIII,personal contractual,,1,VIII CII F!15
comandant detasament de zbor,Comandant detaşament de zbor,VIII,personal contractual,,1,VIII CII F!14
comandant instructor,Comandant instructor,VIII,personal contractual,,1,VIII CII E!10
comandant sub 3000 trb,Comandant sub 3000 TRB,VIII,personal contractual,,1,VIII CII E!13
comandor,comandor,VI,,,1,VI_Armata!17
comisar,Comisar,VIII,funcționar public,81.10105010.01.1|81.10105010.01.2|81.10105010.01.3|81.10105010.01.4|81.10105011.02.1|81.10105011.02.2|81.10105011.02.3|81.10105011.02.4|81.10105012.03.1|81.10105012.03.2|81.10105012.03.3|81.10105012.03.4|81.20109002.01.1|81.20109002.01.2|81.20109002.01.3|81.20109002.01.4|81.20109003.01.1|81.20109003.01.2|81.20109003.01.3|81.20109003.01.4,20,VIII_CI_A_1!58|VIII_CI_A_1!59|VIII_CI_A_1!60|VIII_CI_A_1!61|VIII_CI_A_1!62|VIII_CI_A_1!63|VIII_CI_A_1!64|VIII_CI_A_1!65|VIII_CI_A_1!66|VIII_CI_A_1!67|VIII_CI_A_1!68|VIII_CI_A_1!69|VIII_CI_A_2!37|VIII_CI_A_2!38|VIII_CI_A_2!39|VIII_CI_A_2!40|VIII_CI_A_2!41|VIII_CI_A_2!42|VIII_CI_A_2!43|VIII_CI_A_2!44
comisar de politie,comisar de poliţie,VI,,,1,VI_Armata!18
comisar general,comisar general,VIII,funcționar public,81.10101002.02.2,1,VIII_CI_A_1!10
comisar general adjunct,comisar general adjunct,VIII,funcționar public,81.10103002.05.2|81.20107002.04.2,2,VIII_CI_A_1!16|VIII_CI_A_2!11
comisar general prim adjunct,comisar general prim adjunct,VIII,funcționar public,81.10103001.05.2|81.20107001.02.2,2,VIII_CI_A_1!15|VIII_CI_A_2!10
comisar sef adjunct,comisar şef adjunct,VIII,funcționar public,81.10103004.12.2|81.20107004.09.2,2,VIII_CI_A_1!18|VIII_CI_A_2!13
comisar sef de politie,comisar-şef de poliţie,VI,,,1,VI_Armata!17
comisar sef divizie,comisar şef divizie,VIII,funcționar public,81.10103003.09.2|81.20107003.06.2,2,VIII_CI_A_1!17|VIII_CI_A_2!12
comisar sef divizie sectie,comisar şef divizie secţie,VIII,funcționar public,81.10103005.03.2|81.20107005.02.2,2,VIII_CI_A_1!19|VIII_CI_A_2!14
comisar sef sectie,comisar şef secţie,VIII,funcționar public,81.10103003.09.2|81.20107003.06.2,2,VIII_CI_A_1!17|VIII_CI_A_2!12
comisar sef sectie adjunct,comisar şef secţie adjunct,VIII,funcționar public,81.10103004.12.2|81.20107004.09.2,2,VIII_CI_A_1!18|VIII_CI_A_2!13
comisar sef sectie divizie,comisar şef secţie divizie,VIII,funcționar public,81.10103004.12.2|81.20107004.09.2,2,VIII_CI_A_1!18|VIII_CI_A_2!13
conducator autospeciala,Conducător autospecială,VIII,personal contractual,82.60130009.01.1,4,VIII CII A 3_local1!77|VIII CII A 3_local2!77|VIII CII A 3_local3!78|VIII CII A 3_local4!79
conducator salupa timonier maritim,"Conducător şalupă, timonier maritim",VIII,personal contractual,,1,VIII CII E!37
conducatorul institutiei,Conducătorul instituţiei,IX,,,1,IX D!9
conductor arhitect,conductor arhitect,VIII,personal contractual,82.40202004.05.1|82.40202004.05.2|82.40202004.05.3|82.40202004.05.4|82.50126004.09.1|82.50126004.09.2|82.50126004.09.3|82.50126004.09.4|82.60128004.09.1|82.60128004.09.2|82.60128004.09.3|82.60128004.09.4,24,VIII CII A 2!29|VIII CII A 2!30|VIII CII A 2!31|VIII CII A 2!32|VIII CII A 3_local1!27|VIII CII A 3_local1!28|VIII CII A 3_local1!29|VIII CII A 3_local1!30|VIII CII A 3_local2!27|VIII CII A 3_local2!28|VIII CII A 3_local2!29|VIII CII A 3_local2!30|VIII CII A 3_local3!28|VIII CII A 3_local3!29|VIII CII A 3_local3!30|VIII CII A 3_local3!31|VIII CII A 3_local4!29|VIII CII A 3_local4!30|VIII CII A 3_local4!31|VIII CII A 3_local4!32|VIII CII B!28|VIII CII B!29|VIII CII B!30|VIII CII B!31
conductor tehnic,conductor tehnic,VIII,personal contractual,82.40208002.02.1|82.40208002.02.2|82.40208002.02.3|82.40208002.02.4,4,VIII CII B!70|VIII CII B!71|VIII CII B!72|VIII CII B!73
conferentiar universitar,Conferenţiar universitar,I,,11.00401002.01.1|11.00401002.01.2|11.00401002.01.3|11.00401002.01.4|11.00401002.01.5|11.00401002.01.6,6,I CI 4-5-6!13|I CI 4-5-6!14|I CI 4-5-6!15|I CI 4-5-6!16|I CI 4-5-6!17|I CI 4-5-6!18
conservator,conservator,I,,11.00601001.02.1|11.00601001.02.2|11.00601001.02.3|11.00601001.02.4|11.00601007.02.1|11.00601007.02.2|11.00601007.02.3|11.00601007.02.4|11.00601013.02.1|11.00601013.02.2|11.00601013.02.3|11.00601013.02.4,12,I CI 4-5-6!148|I CI 4-5-6!149|I CI 4-5-6!150|I CI 4-5-6!151|I CI 4-5-6!180|I CI 4-5-6!181|I CI 4-5-6!182|I CI 4-5-6!183|I CI 4-5-6!208|I CI 4-5-6!209|I CI 4-5-6!210|I CI 4-5-6!211
consilier,Consilier,IV|VIII,funcționar public|personal contractual,81.10104002.04.1|81.10104002.04.2|81.10104002.04.3|81.10104002.04.4|81.20108002.04.1|81.20108002.04.2|81.20108002.04.3|81.20108002.04.4|81.30111002.04.1|81.30111002.04.2|81.30111002.04.3|81.30111002.04.4|82.40108002.01.1|82.40108002.01.2|82.40108002.01.3|82.40108002.01.4|82.40112002.01.1|82.40202002.04.1|82.40202002.04.2|82.40202002.04.3|82.40202002.04.4|82.50126002.07.1|82.50126002.07.2|82.50126002.07.3|82.50126002.07.4|82.60128002.07.1|82.60128002.07.2|82.60128002.07.3|82.60128002.07.4,57,IV CVII!23|IV CVII!24|IV CVII!25|IV CVII!26|VIII_CI_A_1!25|VIII_CI_A_1!26|VIII_CI_A_1!27|VIII_CI_A_1!28|VIII_CI_A_2!20|VIII_CI_A_2!21|VIII_CI_A_2!22|VIII_CI_A_2!23|VIII CI A 3 (local1)!24|VIII CI A 3 (local1)!25|VIII CI A 3 (local1)!26|VIII CI A 3 (local1)!27|VIII CI A 3 (local2)!23|VIII CI A 3 (local2)!24|VIII CI A 3 (local2)!25|VIII CI A 3 (local2)!26|VIII CI A 3 (local3)!23|VIII CI A 3 (local3)!24|VIII CI A 3 (local3)!25|VIII CI A 3 (local3)!26|VIII CI A 3 (local4)!23|VIII CI A 3 (local4)!24|VIII CI A 3 (local4)!25|VIII CI A 3 (local4)!26|VIII CII A 1!87|VIII CII A 1!88|VIII CII A 1!89|VIII CII A 1!90|VIII CII A 1!148|VIII CII A 2!21|VIII CII A 2!22|VIII CII A 2!23|VIII CII A 2!24|VIII CII A 3_local1!19|VIII CII A 3_local1!20|VIII CII A 3_local1!21
consilier achizitii publice,consilier achiziții publice,VIII,funcționar public,81.10104002.04.1|81.10104002.04.2|81.10104002.04.3|81.10104002.04.4|81.20108002.04.1|81.20108002.04.2|81.20108002.04.3|81.20108002.04.4|81.30111002.04.1|81.30111002.04.2|81.30111002.04.3|81.30111002.04.4,24,VIII_CI_A_1!25|VIII_CI_A_1!26|VIII_CI_A_1!27|VIII_CI_A_1!28|VIII_CI_A_2!20|VIII_CI_A_2!21|VIII_CI_A_2!22|VIII_CI_A_2!23|VIII CI A 3 (local1)!24|VIII CI A 3 (local1)!25|VIII CI A 3 (local1)!26|VIII CI A 3 (local1)!27|VIII CI A 3 (local2)!23|VIII CI A 3 (local2)!24|VIII CI A 3 (local2)!25|VIII CI A 3 (local2)!26|VIII CI A 3 (local3)!23|VIII CI A 3 (local3)!24|VIII CI A 3 (local3)!25|VIII CI A 3 (local3)!26|VIII CI A 3 (local4)!23|VIII CI A 3 (local4)!24|VIII CI A 3 (local4)!25|VIII CI A 3 (local4)!26
consilier al directorului general,Consilier al directorului general,VIII,personal contractual,82.40108001.01.1,1,VIII CII A 1!86
consilier cadastru,Consilier cadastru,VIII,personal contractual,82.40108008.01.1|82.40108008.01.2|82.40108008.01.3|82.40108008.01.4,4,VIII CII A 1!107|VIII CII A 1!108|VIII CII A 1!109|VIII CII A 1!110
consilier conturi,Consilier conturi,IX,,,1,IX B!30
consilier de concurenta,Consilier de concurenţă,IX,,,1,IX B!45
consilier de probatiune debutant,Consilier de probațiune debutant,V,,57.00101012.01.1,1,V CVII!36
consilier de probatiune gradul i,Consilier de probațiune gradul I,V,,57.00101009.01.1|57.00101009.01.2|57.00101009.01.3|57.00101009.01.4,4,V CVII!22|V CVII!23|V CVII!24|V CVII!25
consilier de probatiune gradul ii,Consilier de probațiune gradul II,V,,57.00101010.01.1|57.00101010.01.2|57.00101010.01.3|57.00101010.01.4|57.00101010.01.5,5,V CVII!26|V CVII!27|V CVII!28|V CVII!29|V CVII!30
consilier de probatiune gradul iii,Consilier de probațiune gradul III,V,,57.00101011.01.1|57.00101011.01.2|57.00101011.01.3|57.00101011.01.4|57.00101011.01.5,5,V CVII!31|V CVII!32|V CVII!33|V CVII!34|V CVII!35
consilier de securitate a informatiilor,Consilier de securitate a informaţiilor,VIII,personal contractual,82.40123001.01.1,1,VIII CII A 1!218
consilier de stat,Consilier de stat,IX,,,2,IX B!37|IX B!41
consilier diplomatic consul general,"Consilier diplomatic, consul general",IV,,42.00100004.02.1,1,IV CI + CII!20
consilier economic,Consilier economic,VIII,personal contractual,82.40104002.01.1,1,VIII CII A 1!52
consilier evaluare examinare,Consilier evaluare - examinare,VIII,funcționar public,81.10105013.02.1|81.10105013.02.2|81.10105013.02.3|81.10105013.02.4,4,VIII_CI_A_1!70|VIII_CI_A_1!71|VIII_CI_A_1!72|VIII_CI_A_1!73
consilier expert inspector de specialitate revizor contabil arhitect,"Consilier, expert, inspector de specialitate, revizor contabil, arhitect",VIII,personal contractual,82.40102002.07.1|82.40102002.07.2|82.40102002.07.3|82.40102002.07.4,4,VIII CII A 1!25|VIII CII A 1!26|VIII CII A 1!27|VIII CII A 1!28
consilier juridic,Consilier juridic,IV|VIII,funcționar public|personal contractual,81.10104002.04.1|81.10104002.04.2|81.10104002.04.3|81.10104002.04.4|81.20108002.04.1|81.20108002.04.2|81.20108002.04.3|81.20108002.04.4|81.30111002.04.1|81.30111002.04.2|81.30111002.04.3|81.30111002.04.4|82.40102003.01.1|82.40102003.01.2|82.40102003.01.3|82.40102003.01.4|82.40108003.01.1|82.40108003.01.2|82.40108003.01.3|82.40108003.01.4|82.40202005.01.1|82.40202005.01.2|82.40202005.01.3|82.40202005.01.4|82.50126003.01.1|82.50126003.01.2|82.50126003.01.3|82.50126003.01.4|82.60128003.01.1|82.60128003.01.2|82.60128003.01.3|82.60128003.01.4,60,IV CVII!19|IV CVII!20|IV CVII!21|IV CVII!22|VIII_CI_A_1!25|VIII_CI_A_1!26|VIII_CI_A_1!27|VIII_CI_A_1!28|VIII_CI_A_2!20|VIII_CI_A_2!21|VIII_CI_A_2!22|VIII_CI_A_2!23|VIII CI A 3 (local1)!24|VIII CI A 3 (local1)!25|VIII CI A 3 (local1)!26|VIII CI A 3 (local1)!27|VIII CI A 3 (local2)!23|VIII CI A 3 (local2)!24|VIII CI A 3 (local2)!25|VIII CI A 3 (local2)!26|VIII CI A 3 (local3)!23|VIII CI A 3 (local3)!24|VIII CI A 3 (local3)!25|VIII CI A 3 (local3)!26|VIII CI A 3 (local4)!23|VIII CI A 3 (local4)!24|VIII CI A 3 (local4)!25|VIII CI A 3 (local4)!26|VIII CII A 1!29|VIII CII A 1!30|VIII CII A 1!31|VIII CII A 1!32|VIII CII A 1!91|VIII CII A 1!92|VIII CII A 1!93|VIII CII A 1!94|VIII CII A 2!25|VIII CII A 2!26|VIII CII A 2!27|VIII CII A 2!28
consilier juridic specialist,Consilier juridic specialist,V,,56.00201001.02.1|56.00201002.02.1|56.00201003.02.1|56.00201004.02.1,4,V CVInef!16|V CVInef!17|V CVInef!18|V CVInef!19
consilier parlamentar,Consilier parlamentar,VIII,funcționar public,81.10105001.01.1,1,VIII_CI_A_1!42
consilier pentru afaceri europene,Consilier pentru afaceri europene,VIII,personal contractual,82.40110001.01.1,1,VIII CII A 1!135
consilier prezidential,Consilier prezidenţial,IX,,,1,IX B!40
consilier relatii interpret relatii i consilier cabinet i,"Consilier relaţii, interpret relaţii I, consilier cabinet I",IV,,42.00200001.03.1,1,IV CI + CII!26
consilier relatii interpret relatii ii consilier cabinet ii,"Consilier relaţii, interpret relaţii II, consilier cabinet II",IV,,42.00200002.03.1,1,IV CI + CII!27
consilier relatii interpret relatii iii consilier cabinet iii,"Consilier relaţii, interpret relaţii III, consilier cabinet III",IV,,42.00200003.03.1,1,IV CI + CII!28
consiliului,Consiliului,VII,,,1,VII CI !43
consultant,Consultant,VIII,personal contractual,82.40112004.01.1,1,VIII CII A 1!150
consultant parlamentar,Consultant parlamentar,VIII,funcționar public,81.10105003.01.1,1,VIII_CI_A_1!44
contabil,contabil,VIII,personal contractual,82.40202006.04.1|82.40202006.04.2|82.40202006.04.3|82.40202006.04.4,4,VIII CII B!36|VIII CII B!37|VIII CII B!38|VIII CII B!39
contabil sef,contabil-şef,I|II|VII|VIII,funcționar public|personal contractual,11.00301001.02.2|21.00301002.01.2|81.10103004.12.2|82.40201004.05.2|82.50125004.04.2|82.60127004.04.2,11,I CI 1-3!23|II CI 3!9|VII CI !14|VII CI !29|VIII_CI_A_1!18|VIII CII A 2!14|VIII CII A 3_local1!12|VIII CII A 3_local2!12|VIII CII A 3_local3!13|VIII CII A 3_local4!14|VIII CII B!12
contabil sef isj,Contabil-şef ISJ,I,,,1,I CI 1-3!29
contabil sef nivel maxim,Contabil-şef - nivel maxim,I,,11.00302001.01.2,1,I CI 1-3!31
contraamiral,contraamiral,VI,,,1,VI_Armata!15
contraamiral de flotila,contraamiral de flotilă,VI,,,1,VI_Armata!16
controlor date,controlor date,VIII,personal contractual,82.40208004.02.1|82.40208004.02.2|82.40208004.02.3|82.40208004.02.4,4,VIII CII B!78|VIII CII B!79|VIII CII B!80|VIII CII B!81
controlor delegat al ministerului finantelor publice,Controlor delegat al Ministerului Finanţelor Publice,VIII,funcționar public,81.10105008.01.1,1,VIII_CI_A_1!49
controlor financiar sef,controlor financiar şef,VIII,funcționar public,81.10103001.05.2|81.30110002.02.2,5,VIII_CI_A_1!15|VIII CI A 3 (local1)!11|VIII CI A 3 (local2)!10|VIII CI A 3 (local3)!10|VIII CI A 3 (local4)!10
controlor financiar sef adjunct,controlor financiar şef adjunct,VIII,funcționar public,81.10103002.05.2|81.30110004.02.2,5,VIII_CI_A_1!16|VIII CI A 3 (local1)!13|VIII CI A 3 (local2)!12|VIII CI A 3 (local3)!12|VIII CI A 3 (local4)!12
controlor vamal,controlor vamal,VIII,funcționar public,81.10105012.03.1|81.10105012.03.2|81.10105012.03.3|81.10105012.03.4,4,VIII_CI_A_1!66|VIII_CI_A_1!67|VIII_CI_A_1!68|VIII_CI_A_1!69
coordonator personal de specialitate,Coordonator personal de specialitate,II,,21.00302002.01.2,1,II CI 3!12
coordonator securitate cibernetica,Coordonator securitate cibernetica,VIII,personal contractual,,1,VIII CII A 1!250
coordonator superior securitate cibernetica,Coordonator superior securitate cibernetica,VIII,personal contractual,,1,VIII CII A 1!249
corepetitor,Corepetitor,I,,11.00601005.03.1|11.00601005.03.2|11.00601005.03.3|11.00601011.03.1|11.00601011.03.2|11.00601011.03.3|11.00601017.02.1|11.00601017.02.2|11.00601017.02.3|11.00601017.02.4,12,I CI 4-5-6!168|I CI 4-5-6!169|I CI 4-5-6!170|I CI 4-5-6!171|I CI 4-5-6!196|I CI 4-5-6!197|I CI 4-5-6!198|I CI 4-5-6!199|I CI 4-5-6!224|I CI 4-5-6!225|I CI 4-5-6!226|I CI 4-5-6!227
corespondent special redactor documentarist grafician videojurnalist,"Corespondent special, redactor documentarist, grafician, videojurnalist",III,,,8,III CIV!32|III CIV!33|III CIV!34|III CIV!35|III CIV!36|III CIV!37|III CIV!38|III CIV!39
cosmetician medical,cosmetician medical,II,,21.00201032.27.1,1,II CI 2!36
cosmetician medical specialist,cosmetician medical specialist,II,,21.00201032.27.1,1,II CI 2!36
cueier,cueier,VIII,personal contractual,82.60128013.07.1,4,VIII CII A 3_local1!50|VIII CII A 3_local2!50|VIII CII A 3_local3!51|VIII CII A 3_local4!52
curier,curier,VIII,personal contractual,82.40302007.07.1,1,VIII CII C!24
curier relatii i,Curier relaţii I,IV,,42.00200019.01.1,1,IV CI + CII!37
curier relatii ii,Curier relaţii II,IV,,42.00200020.01.1,1,IV CI + CII!38
dactilograf,dactilograf,VIII,personal contractual,82.40302001.03.1|82.40302001.03.2|82.40302001.03.3|82.60128007.03.1|82.60128007.03.2|82.60128007.03.3,15,VIII CII A 3_local1!38|VIII CII A 3_local1!39|VIII CII A 3_local1!40|VIII CII A 3_local2!38|VIII CII A 3_local2!39|VIII CII A 3_local2!40|VIII CII A 3_local3!39|VIII CII A 3_local3!40|VIII CII A 3_local3!41|VIII CII A 3_local4!40|VIII CII A 3_local4!41|VIII CII A 3_local4!42|VIII CII C!12|VIII CII C!13|VIII CII C!14
debutant,debutant *,II,,21.00205010.04.1|21.00303024.04.1,2,II CI 2!66|II CI 3!38
debutant 1,debutant 1*),II,,21.00303027.03.1|21.00303030.06.1,2,II CI 3!41|II CI 3!44
decan,Decan,I,,11.00101004.01.2,1,I CI 1-3!10
dietetician,dietetician,II,,21.00201026.11.1|21.00201027.11.1|21.00201028.11.1,3,II CI 2!33|II CI 2!34|II CI 2!35
director,Director,I|II|III|IV|V|VII|VIII,funcționar public|personal contractual,11.00101007.02.2|11.00301001.02.2|21.00301001.01.2|31.00101003.01.2|31.00102003.01.2|32.00101003.01.2|32.00102003.01.2|33.00101003.01.2|33.00102003.01.2|55.00101001.01.1|81.10103003.09.2|81.20107003.06.2|81.30110005.05.2|82.40114001.01.2|82.40116002.01.1|82.40118002.01.1|82.40120004.01.1|82.40201003.01.2|82.50125003.04.2|82.60127003.04.2,33,I CI 1-3!13|I CI 1-3!23|II CI 1!20|II CI 3!8|III CI !10|III CI !65|III CII!11|III CII!41|III CIII!9|III CIII!39|IV CVII!13|V CV!8|VII CI !13|VII CI !28|VII CI !47|VIII_CI_A_1!17|VIII_CI_A_2!12|VIII CI A 3 (local1)!14|VIII CI A 3 (local2)!13|VIII CI A 3 (local3)!13|VIII CI A 3 (local4)!13|VIII CII A 1!160|VIII CII A 1!176|VIII CII A 1!187|VIII CII A 1!202|VIII CII A 2!13|VIII CII A 3_local1!11|VIII CII A 3_local2!11|VIII CII A 3_local3!12|VIII CII A 3_local4!13|VIII CII B!11|VIII CII F!23|VIII CII F!24
director adjunct,Director adjunct,V|VII|VIII,funcționar public|personal contractual,55.00101002.01.1|81.10103004.12.2|81.20107004.09.2|81.30110006.08.2|82.40114002.01.2|82.40116003.01.1|82.40120005.01.1|82.40122004.01.2|82.40201004.05.2|82.50125004.04.2|82.60127004.04.2,20,V CV!9|VII CI !14|VII CI !29|VII CI !48|VIII_CI_A_1!18|VIII_CI_A_2!13|VIII CI A 3 (local1)!15|VIII CI A 3 (local2)!14|VIII CI A 3 (local3)!14|VIII CI A 3 (local4)!14|VIII CII A 1!161|VIII CII A 1!177|VIII CII A 1!203|VIII CII A 1!215|VIII CII A 2!14|VIII CII A 3_local1!12|VIII CII A 3_local2!12|VIII CII A 3_local3!13|VIII CII A 3_local4!14|VIII CII B!12
director adjunct centru de cercetare,Director adjunct centru de cercetare,I,,12.00101007.02.2,1,I CII!16
director adjunct contabil sef,"Director adjunct, contabil-şef",III,,35.00101002.02.2,2,III CV!9|III CV!29
director adjunct contabil sef inginer sef,"Director adjunct, contabil-şef, inginer-şef",III,,31.00101004.03.2|31.00102004.03.2|32.00101004.03.2|32.00102004.03.2|33.00101004.03.2|33.00102004.03.2,6,III CI !11|III CI !66|III CII!12|III CII!42|III CIII!10|III CIII!40
director adjunct cu rang de secretar ii,Director adjunct cu rang de secretar II,IV,,41.00100006.01.2,1,IV CI + CII!13
director adjunct cu rang diplomatic,Director adjunct cu rang diplomatic,VIII,personal contractual,82.40103004.01.2,1,VIII CII A 1!48
director adjunct departament informatic,director adjunct departament informatic,V,,52.00101002.03.1,1,V CII!9
director adjunct inspector sef adjunct contabil sef inginer sef,"Director adjunct, inspector șef adjunct, contabil șef, inginer șef",VIII,personal contractual,82.40101007.04.2,1,VIII CII A 1!16
director adjunct institut de cercetare,Director adjunct institut de cercetare,I,,12.00101004.01.2,1,I CII!13
director adjunct institutie subordonata,Director adjunct institutie subordonata,VIII,personal contractual,82.40107004.01.2,1,VIII CII A 1!81
director adjunct orct,Director adjunct ORCT,V,,56.00101004.01.2,1,V CVInef!11
director adjunct statiune de cercetare,director adjunct stațiune de cercetare,I,,12.00101007.02.2,1,I CII!16
director adjunct unitate de invatamant,Director adjunct unitate de învăţământ,I,,11.00201006.01.2,1,I CI 1-3!20
director casa corpului didactic,Director casa corpului didactic,I,,11.00201003.01.2,1,I CI 1-3!17
director centru de cercetare,Director centru de cercetare,I,,12.00101005.02.2,1,I CII!14
director cu rang de secretar i,Director cu rang de secretar I,IV,,41.00100005.01.2,1,IV CI + CII!12
director cu rang diplomatic,Director cu rang diplomatic,VIII,personal contractual,82.40103003.01.2,1,VIII CII A 1!47
director de cabinet,Director de cabinet,VIII,personal contractual,82.40112001.01.1,1,VIII CII A 1!146
director de departament director extensie universitara,Director de departament/director extensie universitara),I,,11.00101006.01.2,1,I CI 1-3!12
director de departament in cadrul directiei nationale de probatiune,Director de departament în cadrul Direcției Naționale de Probațiune,V,,,1,V CVII!9
director de ingrijiri,Director de îngrijiri,II,,21.00102005.01.2,1,II CI 1!15
director departament informatic,director departament informatic,V,,52.00101001.05.1,1,V CII!8
director directie,Director directie,VIII,personal contractual,82.40107005.01.2,1,VIII CII A 1!82
director economic,Director economic,II,,21.00103004.02.2,1,II CI 1!25
director executiv,Director executiv,II|VIII,funcționar public,81.10103003.09.2|81.20107003.06.2|81.30110005.05.2,11,II CI 1!20|VIII_CI_A_1!17|VIII_CI_A_2!12|VIII CI A 3 (local1)!14|VIII CI A 3 (local1)!18|VIII CI A 3 (local2)!13|VIII CI A 3 (local2)!17|VIII CI A 3 (local3)!13|VIII CI A 3 (local3)!17|VIII CI A 3 (local4)!13|VIII CI A 3 (local4)!17
