nume_normalizat,nume,anexe,regimuri,coduri,nr_randuri,randuri
agent informare privind cariera,Agent informare privind cariera,II,,21.00303047.01.1,1,II CI 3!61
agent procedural,Agent procedural,V,,53.00101001.02.1|53.00101001.02.2|53.00101001.02.3|53.00101001.02.4|53.00101001.02.5,5,V CIII!8|V CIII!9|V CIII!10|V CIII!11|V CIII!12
agent vamal,agent vamal,VIII,funcționar public,81.10105011.02.1|81.10105011.02.2|81.10105011.02.3|81.10105011.02.4,4,VIII_CI_A_1!62|VIII_CI_A_1!63|VIII_CI_A_1!64|VIII_CI_A_1!65
agent veterinar,Agent veterinar,VIII,personal contractual,82.40124020.01.1,1,VIII CII A 1!243
agent veterinar ingrijitor animale,"Agent veterinar, îngrijitor animale",VIII,personal contractual,82.40124019.02.1,1,VIII CII A 1!242
aj of mec,Aj.of.mec,VIII,personal contractual,,1,VIII CII E!36
ambasador,Ambasador,IV,,42.00100001.01.1,1,IV CI + CII!17
ambulantier,Ambulanţier,II,,21.00211004.01.1,1,II CI 2!83
amiral,amiral,VI,,,1,VI_Armata!13
analist,analist,I|VIII,personal contractual,11.00601001.02.1|11.00601001.02.2|11.00601001.02.3|11.00601001.02.4|82.40208001.03.1|82.40208001.03.2|82.40208001.03.3|82.40208001.03.4,8,I CI 4-5-6!148|I CI 4-5-6!149|I CI 4-5-6!150|I CI 4-5-6!151|VIII CII B!66|VIII CII B!67|VIII CII B!68|VIII CII B!69
analist ajutor,Analist ajutor,VIII,personal contractual,82.40208003.01.1|82.40208003.01.2|82.40208003.01.3|82.40208003.01.4,4,VIII CII B!74|VIII CII B!75|VIII CII B!76|VIII CII B!77
analist evaluare examinare,Analist evaluare - examinare,VIII,funcționar public,81.10105014.01.1|81.10105014.01.2|81.10105014.01.3|81.10105014.01.4,4,VIII_CI_A_1!74|VIII_CI_A_1!75|VIII_CI_A_1!76|VIII_CI_A_1!77
analist financiar,Analist financiar,VIII,personal contractual,82.40119001.01.1|82.40119001.01.2|82.40119001.01.3|82.40119001.01.4,4,VIII CII A 1!191|VIII CII A 1!192|VIII CII A 1!193|VIII CII A 1!194
analist programator,analist programator,I,,11.00601002.02.1|11.00601002.02.2|11.00601002.02.3|11.00601002.02.4,4,I CI 4-5-6!152|I CI 4-5-6!153|I CI 4-5-6!154|I CI 4-5-6!155
