version_id,anexa,sheet,source_row,cod,coduri,functie,sinonime,regim,tip_post,nivel_administrativ,banda_populatie,grad_treapta,vechime,studii,sectiune,coef_min,coef_max,coeficienti,coef_labels,needs_review
2026-07-17,I,I CI 1-3,18,11.00201004.02.2,11.00201004.02.2,"Inspector şcolar de specialitate, inspector şcolar","Inspector şcolar de specialitate, inspector şcolar",,conducere,,,,,S,"2. Funcţiile de conducere, de indrumare si control din învăţământul preuniversitar",3.42012860625,3.6001353750000002,3.420128606|3.600135375,Grad I|Grad II,0
2026-07-17,I,I CI 1-3,19,11.00201005.01.2,11.00201005.01.2,Director unitate de învăţământ,Director unitate de învăţământ,,conducere,,,,,S,"2. Funcţiile de conducere, de indrumare si control din învăţământul preuniversitar",3.3,3.4991970000000006,3.3|3.499197,Grad I|Grad II,0
2026-07-17,I,I CI 1-3,20,11.00201006.01.2,11.00201006.01.2,Director adjunct unitate de învăţământ,Director adjunct unitate de învăţământ,,conducere,,,,,S,"2. Funcţiile de conducere, de indrumare si control din învăţământul preuniversitar",3.196381875,3.3646125000000002,3.196381875|3.3646125,Grad I|Grad II,0
2026-07-17,I,I CI 1-3,23,11.00301001.02.2,11.00301001.02.2,Director; contabil-şef,Director|contabil-şef,,conducere,,,,,S,a) Învăţământ superior,3.717,4.13,3.717|4.13,Grad I|Grad II,0
2026-07-17,I,I CI 1-3,24,11.00301002.01.2,11.00301002.01.2,Administrator șef facultate,Administrator șef facultate,,conducere,,,,,S,a) Învăţământ superior,3.195,3.55,3.195|3.55,Grad I|Grad II,0
2026-07-17,I,I CI 1-3,25,11.00301003.01.2,11.00301003.01.2,Secretar-şef universitate,Secretar-şef universitate,,conducere,,,,,S,a) Învăţământ superior,3.717,4.13,3.717|4.13,Grad I|Grad II,0
2026-07-17,I,I CI 1-3,26,11.00301004.01.2,11.00301004.01.2,Secretar-şef facultate,Secretar-şef facultate,,conducere,,,,,S,a) Învăţământ superior,3.195,3.55,3.195|3.55,Grad I|Grad II,0
2026-07-17,I,I CI 1-3,27,11.00301005.01.2,11.00301005.01.2,Şef serviciu,Şef serviciu,,conducere,,,,,S,a) Învăţământ superior,2.79,3.1,2.79|3.1,Grad I|Grad II,0
2026-07-17,I,I CI 1-3,29,,,Contabil-şef ISJ/DJIP/DMBIP - nivel maxim,Contabil-şef ISJ|DJIP|DMBIP - nivel maxim,,conducere,,,,,S,a) Învăţământ superior,3.15,3.42,3.15|3.42,Grad I|Grad II,0
2026-07-17,I,I CI 1-3,30,11.00302005.01.2,11.00302005.01.2,Șef serviciu - ISJ/DJIP/DMBIP - nivel maxim,Șef serviciu - ISJ|DJIP|DMBIP - nivel maxim,,conducere,,,,,S,a) Învăţământ superior,2.7961099576687123,3.1067888418541245,2.796109958|3.106788842,Grad I|Grad II,0
