cod_cor,denumire,denumire_normalizata,grupa_majora,subgrupa_majora,grupa_minora,isco_grupa_de_baza
111237,secretar general Academie,secretar general academie,1,11,111,1112
111238,director general adjunct,director general adjunct,1,11,111,1112
111239,investigator șef,investigator sef,1,11,111,1112
111240,inspector șef teritorial,inspector sef teritorial,1,11,111,1112
111241,consilier de stat,consilier de stat,1,11,111,1112
111301,primar,primar,1,11,111,1113
111302,"secretar primărie, prefectură",secretar primarie prefectura,1,11,111,1113
111303,viceprimar,viceprimar,1,11,111,1113
111401,consilier organizație politică,consilier organizatie politica,1,11,111,1114
111402,președinte consilier organizație politică,presedinte consilier organizatie politica,1,11,111,1114
111403,vicepreședinte organizație politică,vicepresedinte organizatie politica,1,11,111,1114
111404,secretar organizație politică,secretar organizatie politica,1,11,111,1114
111405,"conducător de asociații, filiale și organizații obștești",conducator de asociatii filiale si organizatii obstesti,1,11,111,1114
111406,"locțiitor al conducătorului de asociații, filiale și organizații obștești",loctiitor al conducatorului de asociatii filiale si organizatii obstesti,1,11,111,1114
111407,"secretar și secretar adjunct ai asociațiilor, filialelor și organizațiilor obștești",secretar si secretar adjunct ai asociatiilor filialelor si organizatiilor obstesti,1,11,111,1114
111408,președinte organizație sindicală,presedinte organizatie sindicala,1,11,111,1114
111409,vicepreședinte organizație sindicală,vicepresedinte organizatie sindicala,1,11,111,1114
111410,secretar organizație sindicală,secretar organizatie sindicala,1,11,111,1114
111411,delegat sindical,delegat sindical,1,11,111,1114
111412,președinte asociație națională cooperatistă,presedinte asociatie nationala cooperatista,1,11,111,1114
111413,vicepreședinte asociație națională cooperatistă,vicepresedinte asociatie nationala cooperatista,1,11,111,1114
111414,secretar general asociație națională cooperatistă,secretar general asociatie nationala cooperatista,1,11,111,1114
111415,președinte asociație teritorială de organizații cooperatiste,presedinte asociatie teritoriala de organizatii cooperatiste,1,11,111,1114
111416,vicepreședinte asociație teritorială de organizații cooperatiste,vicepresedinte asociatie teritoriala de organizatii cooperatiste,1,11,111,1114
111417,secretar asociație teritorială de organizații cooperatiste,secretar asociatie teritoriala de organizatii cooperatiste,1,11,111,1114
111418,șef departament organizație sindicală,sef departament organizatie sindicala,1,11,111,1114
111419,președinte organizație cooperatistă,presedinte organizatie cooperatista,1,11,111,1114
111420,vicepreședinte organizație cooperatistă,vicepresedinte organizatie cooperatista,1,11,111,1114
111421,președinte asociație patronală,presedinte asociatie patronala,1,11,111,1114
111422,vicepreședinte asociație patronală,vicepresedinte asociatie patronala,1,11,111,1114
111423,președinte organizație profesională națională,presedinte organizatie profesionala nationala,1,11,111,1114
111424,vicepreședinte organizație profesională națională,vicepresedinte organizatie profesionala nationala,1,11,111,1114
111425,secretar național organizație profesională națională,secretar national organizatie profesionala nationala,1,11,111,1114
111426,"președinte organizație profesională, filială județeană/ municipiu",presedinte organizatie profesionala filiala judeteana municipiu,1,11,111,1114
111427,"vicepreședinte organizație profesională, filială județeană/ municipiu",vicepresedinte organizatie profesionala filiala judeteana municipiu,1,11,111,1114
111428,"secretar organizație profesională, filială județeană/ municipiu",secretar organizatie profesionala filiala judeteana municipiu,1,11,111,1114
111429,consilier președinte organizație profesională națională,consilier presedinte organizatie profesionala nationala,1,11,111,1114
111430,"consilier președinte organizație profesională, filială județeană/ municipiu",consilier presedinte organizatie profesionala filiala judeteana municipiu,1,11,111,1114
111431,"șef departament/ compartiment/ președinte comisie organizație profesională, filială județeană/ municipiu",sef departament compartiment presedinte comisie organizatie profesionala filiala judeteana municipiu,1,11,111,1114
111432,delegat sindical local,delegat sindical local,1,11,111,1114
111433,conducător de organizații umanitare,conducator de organizatii umanitare,1,11,111,1114
111434,secretar al organizațiilor umanitare,secretar al organizatiilor umanitare,1,11,111,1114
112001,comandant/ comandant adjunct aviație,comandant comandant adjunct aviatie,1,11,112,1120
112002,"comandant port, flotă",comandant port flota,1,11,112,1120
112003,"decan, rector, prorector, prodecan",decan rector prorector prodecan,1,11,112,1120
112004,director societate comercială,director societate comerciala,1,11,112,1120
112005,director adjunct societate comercială,director adjunct societate comerciala,1,11,112,1120
112006,inspector general școlar,inspector general scolar,1,11,112,1120
112007,director științific cercetare-dezvoltare,director stiintific cercetare dezvoltare,1,11,112,1120
112008,inspector sanitar șef,inspector sanitar sef,1,11,112,1120
112009,medic (farmacist) director,medic farmacist director,1,11,112,1120
112010,medic (farmacist) director adjunct,medic farmacist director adjunct,1,11,112,1120
112011,director general societate comercială,director general societate comerciala,1,11,112,1120
112012,director general adjunct societate comercială,director general adjunct societate comerciala,1,11,112,1120
112013,director de program,director de program,1,11,112,1120
112014,director general regie autonomă,director general regie autonoma,1,11,112,1120
112015,director general adjunct regie autonomă,director general adjunct regie autonoma,1,11,112,1120
112016,director control risc,director control risc,1,11,112,1120
112017,director comercial,director comercial,1,11,112,1120
112018,director vânzări,director vanzari,1,11,112,1120
112019,"director/ director adjunct, inspector-șef",director director adjunct inspector sef,1,11,112,1120
112020,director economic,director economic,1,11,112,1120
112021,director magazin,director magazin,1,11,112,1120
112022,șef corp executori bancari,sef corp executori bancari,1,11,112,1120
112023,director sucursală,director sucursala,1,11,112,1120
112024,director tehnic,director tehnic,1,11,112,1120
112025,director general institut național de cercetare-dezvoltare,director general institut national de cercetare dezvoltare,1,11,112,1120
112026,director incubator tehnologic de afaceri,director incubator tehnologic de afaceri,1,11,112,1120
112027,director departament cercetare-dezvoltare,director departament cercetare dezvoltare,1,11,112,1120
112028,manager general,manager general,1,11,112,1120
112029,manager,manager,1,11,112,1120
112030,șef cancelarie,sef cancelarie,1,11,112,1120
112031,director de societate comercială agricolă,director de societate comerciala agricola,1,11,112,1120
112032,antreprenor în economia socială,antreprenor in economia sociala,1,11,112,1120
112033,director resurse umane,director resurse umane,1,11,112,1120
112034,inspector școlar general adjunct,inspector scolar general adjunct,1,11,112,1120
112035,director casa corpului didactic,director casa corpului didactic,1,11,112,1120
112036,manager de întreprindere socială,manager de intreprindere sociala,1,11,112,1120
112037,producător general,producator general,1,11,112,1120
112038,director dezvoltare afacere în domeniul agroalimentar,director dezvoltare afacere in domeniul agroalimentar,1,11,112,1120
112039,manager în servicii sociale,manager in servicii sociale,1,11,112,1120
112040,director executiv cooperativă agricolă,director executiv cooperativa agricola,1,11,112,1120
121101,președinte bancă/ vicepreședinte/ prim-vicepreședinte,presedinte banca vicepresedinte prim vicepresedinte,1,12,121,1211
121102,economist-șef,economist sef,1,12,121,1211
121103,director general/ director general adjunct bancă/ societate de leasing,director general director general adjunct banca societate de leasing,1,12,121,1211
121104,director executiv bancă/ director/director adjunct,director executiv banca director director adjunct,1,12,121,1211
121105,șef departament  bancă/ șef-adjunct departament,sef departament banca sef adjunct departament,1,12,121,1211
121106,șef proiect bancă,sef proiect banca,1,12,121,1211
